k,m,j,re,im,abs
1,4,0,1.0,0.0,1.0
1,4,1,-4.592425496802574e-17,-5.551115123125783e-17,7.204529898187539e-17
1,4,2,0.0,-6.123233995736765e-17,6.123233995736765e-17
1,4,3,8.226161367281941e-17,-8.326672684688674e-17,1.1704836984704332e-16
2,20,0,0.9,0.0,0.9
2,20,1,-0.06984011233337106,0.06984011233337101,0.09876883405951378
2,20,2,-1.6653345369377347e-17,0.09510565162951538,0.09510565162951538
2,20,3,0.06300367553350487,0.063003675533505,0.08910065241883662
2,20,4,0.08090169943749484,1.1102230246251566e-17,0.08090169943749484
2,20,5,0.05000000000000008,-0.05,0.07071067811865481
2,20,6,-8.326672684688674e-17,-0.05877852522924728,0.05877852522924728
2,20,7,-0.03210197609601064,-0.032101976096010294,0.04539904997395491
2,20,8,-0.030901699437494656,-1.9984014443252818e-16,0.030901699437494656
2,20,9,-0.011061587104123782,0.011061587104123725,0.01564344650402314
2,20,10,0.0,1.2252657797839419e-16,1.2252657797839419e-16
2,20,11,-0.011061587104123388,-0.01106158710412466,0.015643446504023523
2,20,12,-0.030901699437494167,-2.55351295663786e-16,0.030901699437494167
2,20,13,-0.03210197609601052,0.03210197609600983,0.04539904997395449
2,20,14,-3.58046925441613e-16,0.05877852522924838,0.05877852522924838
2,20,15,0.049999999999999684,0.049999999999999226,0.07071067811865397
2,20,16,0.08090169943749452,6.106226635438361e-17,0.08090169943749452
2,20,17,0.06300367553350414,-0.06300367553350543,0.08910065241883641
2,20,18,1.0824674490095276e-15,-0.09510565162951495,0.09510565162951495
2,20,19,-0.06984011233336868,-0.06984011233337144,0.0987688340595124
3,100,0,0.81,0.0,0.81
3,100,1,-0.06617327216572166,0.020587641951808667,0.0693018971620153
3,100,2,-0.016241381748366777,0.04050004050747021,0.04363525824608936
3,100,3,0.020056593110520427,0.04891932457000775,0.05287123266566365
3,100,4,0.02705341070594972,0.03688821848238583,0.04574524777098739
3,100,5,-0.04953762496879681,0.08459073282802557,0.0980284059236483
3,100,6,0.016739327013345556,0.004147898148407526,0.017245582852118475
3,100,7,0.013776661158187138,0.010722818728982498,0.01745781298336421
3,100,8,0.003149623245146387,0.01657682211340768,0.016873386084776475
3,100,9,-0.007908194077655507,0.006303072533270471,0.010112776914850553
3,100,10,-0.0030901699437496767,0.08559508646656361,0.08565084925148002
