p,first_type_i_k,first_type_ii_G_k,first_type_ii_QR_k,type_i_witness,rescue_method,rescue_k
21169,5,7,4,4071,Type I,5
61681,4,7,7,1775,Type I,4
66529,10,7,4,31,Type II (G),7
67369,4,8,4,247,Type I,4
87481,1,15,6,31,Type I,1
94441,2,7,2,31,Type I,2
99961,1,7,4,151,Type I,1
112249,3,7,4,2903,Type I,3
118801,1,14,4,191,Type I,1
163249,5,7,7,331,Type I,5
176089,2,7,7,327,Type I,2
196561,4,6,2,335,Type I,4
202129,5,9,4,91,Type I,5
219409,5,7,6,531,Type I,5
224401,2,7,7,47,Type I,2
225289,5,7,4,591,Type I,5
231961,3,9,2,203,Type I,3
242449,2,7,7,47,Type I,2
246241,2,9,2,167,Type I,2
270001,1,6,2,127,Type I,1
276721,1,7,7,83,Type I,1
347209,5,9,4,351,Type I,5
370561,10,8,7,559,Type II (G),8
386401,3,13,2,179,Type I,3
388369,1,9,4,71,Type I,1
397489,4,9,9,271,Type I,4
400009,6,7,4,47,Type I,6
415969,6,7,4,167,Type I,6
436801,3,7,2,83,Type I,3
437809,8,7,7,89807,Type II (G),7
454969,4,7,4,95783,Type I,4
463849,2,7,4,327,Type I,2
464521,3,6,2,2543,Type I,3
483289,1,7,4,31,Type I,1
496609,2,12,10,71,Type I,2
505201,5,7,4,439,Type I,5
521929,1,7,4,19,Type I,1
526681,1,11,7,47,Type I,1
529489,4,12,6,367,Type I,4
532249,12,13,4,31463,Type I,12
534601,2,7,2,47,Type I,2
608161,4,6,6,22735,Type I,4
629689,3,7,4,347,Type I,3
637729,8,9,4,159,Type I,8
670849,7,9,4,731,Type I,7
684289,3,7,7,191,Type I,3
691681,1,6,6,71,Type I,1
695689,6,9,4,239,Type I,6
696361,3,6,2,5171,Type I,3
706729,13,7,7,367,Type II (G),7
709921,2,8,7,951,Type I,2
739201,1,7,6,139,Type I,1
755329,2,6,4,159,Type I,2
757201,3,7,4,47,Type I,3
770449,1,7,4,19,Type I,1
789721,3,7,6,191,Type I,3
795001,4,7,4,647,Type I,4
