p,offset,b,c
1083289,4535,60,113315
1299601,5439,60,244695
1326649,5551,60,1998300
1350001,4839,70,1185485
1381969,25127,14,1231209
1421401,21215,17,6131118
1427329,46043,8,2946744
1511689,8447,45,211130
1532161,7127,54,577233
1545769,6471,60,116418
1549321,5891,66,8553666
1565281,50495,8,201972
1639849,29819,14,119262
1694809,30815,14,1509921
1726201,7223,60,1083390
1740481,16911,26,33796
1853329,4839,96,22298016
1877761,60575,8,242292
1918921,8039,60,48174
1929841,62255,8,249012
2010241,64847,8,1037544
2031121,815,624,550316
2113609,68183,8,272724
2129689,8911,60,3207900
2142121,8963,60,3585140
2279281,11231,51,190876
2449801,12071,51,205156
2476321,6759,92,53980
2487601,11359,55,6872140
2580169,38511,17,654670
2613361,84303,8,674416
2726089,9771,70,9575510
2830921,12695,56,2488164
2840041,20439,35,102160
2872081,9235,78,56185662
2975449,11315,66,497794
3038281,29511,26,58996
3079129,99335,8,99327
3160369,14431,55,8730700
3195649,58103,14,2847033
3232321,17663,46,18687408
3256369,59207,14,2901129
3431401,51215,17,14801118
3537769,13055,68,1775412
3558361,12759,70,178556
3587809,9183,98,128464
3607489,65591,14,3213945
3634009,54239,17,15675054
3652609,11975,77,11898
3725569,11679,80,9343120
3746521,36375,26,945724
3767689,68507,14,274014
3768241,15767,60,3153340
3871921,17391,56,34726
4030321,14447,70,722280
4112761,18471,56,36886
4135609,133415,8,133407
4217929,20383,52,163012
4223521,13103,81,39228
4224529,41015,26,6931509
4233961,15179,70,303510
4346521,15579,70,15267350
4488961,25079,45,1128510
4626889,149255,8,2388072
4722169,23279,51,69786
4983721,30575,41,51396534
5008369,16751,75,2093800
5017489,161855,8,2589672
5050249,91823,14,4499313
5128489,23867,54,95414
5171329,14903,87,37600182
5214049,6991,187,118660
5309329,7391,180,199377
5431441,52739,26,210930
5655241,30903,46,32695328
5719561,184503,8,1476016
5738329,31359,46,721211
5751001,55835,26,37744434
5815489,26079,56,2555686
5836009,20919,70,1045880
5843041,20943,70,7329980
5923369,57515,26,230034
5999449,32807,46,65568
6001921,22823,66,753093
6140521,29103,53,1542406
6154009,25751,60,772470
6322969,203975,8,203967
6435529,29391,55,323246
6502609,24791,66,24725
6609409,213215,8,213207
6726241,21087,80,1054270
6776641,26999,63,3968790
6832729,124235,14,496926
7055281,68511,26,136996
7101481,34983,51,5352348
7208569,232535,8,3720552
7347841,23627,78,3685734
7378849,26451,70,528950
7382761,40343,46,42682848
7403281,21103,88,168736
7427281,110855,17,32037078
7581289,73631,26,73605
7586401,18287,104,292488
7869481,117455,17,33944478
7887889,25363,78,154308414
7932961,255903,8,2047216
7934089,77031,26,2002780
7976809,77471,26,77445
8002201,43751,46,87456
8054281,44999,45,674940
8173201,38015,54,18475236
8192809,40359,51,6174876
8395129,152639,14,7479297
8406049,271163,8,17354424
8408929,40623,52,13730522
8455561,40127,53,40074
8577529,276695,8,4427112
8586481,35927,60,7185340
8615161,52895,41,52854
8628481,25759,84,927240
8639401,62159,35,435078
8656729,42647,51,724948
8689321,38279,57,41456100
8772241,49007,45,33079680
8804161,36839,60,1473500
8926681,34479,65,172330
8986849,87251,26,58981650
9064969,32491,70,31841110
9135361,41719,55,458854
9275281,28023,83,2325826
9362641,41999,56,167940
9371569,27975,84,14099316
9372169,36191,65,470418
9405841,91319,26,15432885
9539209,42023,57,45510852
9632401,40303,60,36272640
9711601,33839,72,3654540
9744001,47079,52,376580
9750049,53279,46,56369136
9797449,316055,8,316047
9820729,178559,14,8749377
9822409,19087,129,171654
