p,p_mod_840,k,m_k,status,d1,x,target_minus_x_mod_m,witness_d
1009,169,5,23,divisor,False,258,18,18
1009,169,7,31,divisor,False,260,19,50
1009,169,9,39,none,False,262,11,
1009,169,11,47,divisor,False,264,18,18
1009,169,14,59,none,False,267,28,
1009,169,17,71,none,False,270,14,
1009,169,19,79,none,False,272,44,
1009,169,23,95,divisor,False,276,9,9
1009,169,26,107,none,False,279,42,
1009,169,29,119,none,False,282,75,
1129,289,5,23,none,False,288,11,
1129,289,7,31,divisor,False,290,20,20
1129,289,9,39,none,False,292,20,
1129,289,11,47,none,False,294,35,
1129,289,14,59,none,False,297,57,
1129,289,17,71,none,False,300,55,
1129,289,19,79,none,False,302,14,
1129,289,23,95,none,False,306,74,
1129,289,26,107,none,False,309,12,
1129,289,29,119,none,False,312,45,
1201,361,5,23,divisor,False,306,16,108
1201,361,7,31,divisor,False,308,2,2
1201,361,9,39,divisor,False,310,2,2
1201,361,11,47,divisor,False,312,17,64
1201,361,14,59,none,False,315,39,
1201,361,17,71,none,False,318,37,
1201,361,19,79,none,False,320,75,
1201,361,23,95,none,False,324,56,
1201,361,26,107,none,False,327,101,
1201,361,29,119,none,False,330,27,
1801,121,5,23,divisor,False,456,4,4
1801,121,7,31,none,False,458,7,
1801,121,9,39,divisor,False,460,8,8
1801,121,11,47,divisor,False,462,8,196
1801,121,14,59,none,False,465,7,
1801,121,17,71,none,False,468,29,
1801,121,19,79,divisor,False,470,4,4
1801,121,23,95,d1,True,,,
1801,121,26,107,none,False,477,58,
1801,121,29,119,none,False,480,115,
2521,1,5,23,divisor,False,636,8,8
2521,1,7,31,divisor,False,638,13,44
2521,1,9,39,none,False,640,23,
2521,1,11,47,none,False,642,16,
2521,1,14,59,none,False,645,4,
2521,1,17,71,none,False,648,62,
2521,1,19,79,none,False,650,61,
2521,1,23,95,none,False,654,11,
2521,1,26,107,none,False,657,92,
2521,1,29,119,none,False,660,54,
2689,169,5,23,divisor,False,678,12,12
2689,169,7,31,divisor,False,680,2,2
2689,169,9,39,none,False,682,20,
2689,169,11,47,divisor,False,684,21,162
2689,169,14,59,none,False,687,21,
